--- ddscat calc for FROM_FILE ---
83645
1.000   0.000   0.000
1.000   1.000   0.000
1.      1.      1.   
0.0   0.0   0.0
J     JX      JY      JZ    ICOMPX    ICOMPY   ICOMPZ
7921    10    -27    -12    1      1      1
7922    11    -27    -12    1      1      1
7923    -12    -26    -12    1      1      1
7924    -11    -26    -12    1      1      1
7925    -10    -26    -12    1      1      1
7926    -9    -26    -12    1      1      1
7927    -8    -26    -12    1      1      1
7928    -7    -26    -12    1      1      1
7929    -6    -26    -12    1      1      1
7930    -5    -26    -12    1      1      1
7931    -4    -26    -12    1      1      1
7932    -3    -26    -12    1      1      1
7933    -2    -26    -12    1      1      1
7934    -1    -26    -12    1      1      1
7935    0    -26    -12    1      1      1
7936    1    -26    -12    1      1      1
7937    2    -26    -12    1      1      1
7938    3    -26    -12    1      1      1
7939    4    -26    -12    1      1      1
7940    5    -26    -12    1      1      1
7941    6    -26    -12    1      1      1
7942    7    -26    -12    1      1      1
7943    8    -26    -12    1      1      1
7944    9    -26    -12    1      1      1
7945    10    -26    -12    1      1      1
7946    11    -26    -12    1      1      1
7947    12    -26    -12    1      1      1
7948    -12    -25    -12    1      1      1
7949    -11    -25    -12    1      1      1
7950    -10    -25    -12    1      1      1
7951    -9    -25    -12    1      1      1
7952    -8    -25    -12    1      1      1
7953    -7    -25    -12    1      1      1
7954    -6    -25    -12    1      1      1
7955    -5    -25    -12    1      1      1
7956    -4    -25    -12    1      1      1
7957    -3    -25    -12    1      1      1
7958    -2    -25    -12    1      1      1
7959    -1    -25    -12    1      1      1
7960    0    -25    -12    1      1      1
7961    1    -25    -12    1      1      1
7962    2    -25    -12    1      1      1
7963    3    -25    -12    1      1      1
7964    4    -25    -12    1      1      1
7965    5    -25    -12    1      1      1
7966    6    -25    -12    1      1      1
7967    7    -25    -12    1      1      1
7968    8    -25    -12    1      1      1
7969    9    -25    -12    1      1      1
7970    10    -25    -12    1      1      1
7971    11    -25    -12    1      1      1
7972    12    -25    -12    1      1      1
7973    -12    -24    -12    1      1      1
7974    -11    -24    -12    1      1      1
7975    -10    -24    -12    1      1      1
7976    -9    -24    -12    1      1      1
7977    -8    -24    -12    1      1      1
7978    -7    -24    -12    1      1      1
7979    -6    -24    -12    1      1      1
7980    -5    -24    -12    1      1      1
7981    -4    -24    -12    1      1      1
7982    -3    -24    -12    1      1      1
7983    -2    -24    -12    1      1      1
7984    -1    -24    -12    1      1      1
7985    0    -24    -12    1      1      1
7986    1    -24    -12    1      1      1
7987    2    -24    -12    1      1      1
7988    3    -24    -12    1      1      1
7989    4    -24    -12    1      1      1
7990    5    -24    -12    1      1      1
7991    6    -24    -12    1      1      1
7992    7    -24    -12    1      1      1
7993    8    -24    -12    1      1      1
7994    9    -24    -12    1      1      1
7995    10    -24    -12    1      1      1
7996    11    -24    -12    1      1      1
7997    12    -24    -12    1      1      1
7998    -13    -23    -12    1      1      1
7999    -12    -23    -12    1      1      1
8000    -11    -23    -12    1      1      1
8001    -10    -23    -12    1      1      1
8002    -9    -23    -12    1      1      1
8003    -8    -23    -12    1      1      1
8004    -7    -23    -12    1      1      1
8005    -6    -23    -12    1      1      1
8006    -5    -23    -12    1      1      1
8007    -4    -23    -12    1      1      1
8008    -3    -23    -12    1      1      1
8009    -2    -23    -12    1      1      1
8010    -1    -23    -12    1      1      1
8011    0    -23    -12    1      1      1
8012    1    -23    -12    1      1      1
8013    2    -23    -12    1      1      1
8014    3    -23    -12    1      1      1
8015    4    -23    -12    1      1      1
8016    5    -23    -12    1      1      1
8017    6    -23    -12    1      1      1
8018    7    -23    -12    1      1      1
8019    8    -23    -12    1      1      1
8020    9    -23    -12    1      1      1
8021    10    -23    -12    1      1      1
8022    11    -23    -12    1      1      1
8023    12    -23    -12    1      1      1
8024    13    -23    -12    1      1      1
8025    -13    -22    -12    1      1      1
8026    -12    -22    -12    1      1      1
8027    -11    -22    -12    1      1      1
8028    -10    -22    -12    1      1      1
8029    -9    -22    -12    1      1      1
8030    -8    -22    -12    1      1      1
8031    -7    -22    -12    1      1      1
8032    -6    -22    -12    1      1      1
8033    -5    -22    -12    1      1      1
8034    -4    -22    -12    1      1      1
8035    -3    -22    -12    1      1      1
8036    -2    -22    -12    1      1      1
8037    -1    -22    -12    1      1      1
8038    0    -22    -12    1      1      1
8039    1    -22    -12    1      1      1
8040    2    -22    -12    1      1      1
8041    3    -22    -12    1      1      1
8042    4    -22    -12    1      1      1
8043    5    -22    -12    1      1      1
8044    6    -22    -12    1      1      1
8045    7    -22    -12    1      1      1
8046    8    -22    -12    1      1      1
8047    9    -22    -12    1      1      1
8048    10    -22    -12    1      1      1
8049    11    -22    -12    1      1      1
8050    12    -22    -12    1      1      1
8051    13    -22    -12    1      1      1
8052    -13    -21    -12    1      1      1
8053    -12    -21    -12    1      1      1
8054    -11    -21    -12    1      1      1
8055    -10    -21    -12    1      1      1
8056    -9    -21    -12    1      1      1
8057    -8    -21    -12    1      1      1
8058    -7    -21    -12    1      1      1
8059    -6    -21    -12    1      1      1
8060    -5    -21    -12    1      1      1
8061    -4    -21    -12    1      1      1
8062    -3    -21    -12    1      1      1
8063    -2    -21    -12    1      1      1
8064    -1    -21    -12    1      1      1
8065    0    -21    -12    1      1      1
8066    1    -21    -12    1      1      1
8067    2    -21    -12    1      1      1
8068    3    -21    -12    1      1      1
8069    4    -21    -12    1      1      1
8070    5    -21    -12    1      1      1
8071    6    -21    -12    1      1      1
8072    7    -21    -12    1      1      1
8073    8    -21    -12    1      1      1
8074    9    -21    -12    1      1      1
8075    10    -21    -12    1      1      1
8076    11    -21    -12    1      1      1
8077    12    -21    -12    1      1      1
8078    13    -21    -12    1      1      1
8079    -13    -20    -12    1      1      1
8080    -12    -20    -12    1      1      1
8081    -11    -20    -12    1      1      1
8082    -10    -20    -12    1      1      1
8083    -9    -20    -12    1      1      1
8084    -8    -20    -12    1      1      1
8085    -7    -20    -12    1      1      1
8086    -6    -20    -12    1      1      1
8087    -5    -20    -12    1      1      1
8088    -4    -20    -12    1      1      1
8089    -3    -20    -12    1      1      1
8090    -2    -20    -12    1      1      1
8091    -1    -20    -12    1      1      1
8092    0    -20    -12    1      1      1
8093    1    -20    -12    1      1      1
8094    2    -20    -12    1      1      1
8095    3    -20    -12    1      1      1
8096    4    -20    -12    1      1      1
8097    5    -20    -12    1      1      1
8098    6    -20    -12    1      1      1
8099    7    -20    -12    1      1      1
8100    8    -20    -12    1      1      1
8101    9    -20    -12    1      1      1
8102    10    -20    -12    1      1      1
8103    11    -20    -12    1      1      1
8104    12    -20    -12    1      1      1
8105    13    -20    -12    1      1      1
8106    -14    -19    -12    1      1      1
8107    -13    -19    -12    1      1      1
8108    -12    -19    -12    1      1      1
8109    -11    -19    -12    1      1      1
8110    -10    -19    -12    1      1      1
8111    -9    -19    -12    1      1      1
8112    -8    -19    -12    1      1      1
8113    -7    -19    -12    1      1      1
8114    -6    -19    -12    1      1      1
8115    -5    -19    -12    1      1      1
8116    -4    -19    -12    1      1      1
8117    -3    -19    -12    1      1      1
8118    -2    -19    -12    1      1      1
8119    -1    -19    -12    1      1      1
8120    0    -19    -12    1      1      1
8121    1    -19    -12    1      1      1
8122    2    -19    -12    1      1      1
8123    3    -19    -12    1      1      1
8124    4    -19    -12    1      1      1
8125    5    -19    -12    1      1      1
8126    6    -19    -12    1      1      1
8127    7    -19    -12    1      1      1
8128    8    -19    -12    1      1      1
8129    9    -19    -12    1      1      1
8130    10    -19    -12    1      1      1
8131    11    -19    -12    1      1      1
8132    12    -19    -12    1      1      1
8133    13    -19    -12    1      1      1
8134    14    -19    -12    1      1      1
8135    -14    -18    -12    1      1      1
8136    -13    -18    -12    1      1      1
8137    -12    -18    -12    1      1      1
8138    -11    -18    -12    1      1      1
8139    -10    -18    -12    1      1      1
8140    -9    -18    -12    1      1      1
8141    -8    -18    -12    1      1      1
8142    -7    -18    -12    1      1      1
8143    -6    -18    -12    1      1      1
8144    -5    -18    -12    1      1      1
8145    -4    -18    -12    1      1      1
8146    -3    -18    -12    1      1      1
8147    -2    -18    -12    1      1      1
8148    -1    -18    -12    1      1      1
8149    0    -18    -12    1      1      1
8150    1    -18    -12    1      1      1
8151    2    -18    -12    1      1      1
8152    3    -18    -12    1      1      1
8153    4    -18    -12    1      1      1
8154    5    -18    -12    1      1      1
8155    6    -18    -12    1      1      1
8156    7    -18    -12    1      1      1
8157    8    -18    -12    1      1      1
8158    9    -18    -12    1      1      1
8159    10    -18    -12    1      1      1
8160    11    -18    -12    1      1      1
8161    12    -18    -12    1      1      1
8162    13    -18    -12    1      1      1
8163    14    -18    -12    1      1      1
8164    -14    -17    -12    1      1      1
8165    -13    -17    -12    1      1      1
8166    -12    -17    -12    1      1      1
8167    -11    -17    -12    1      1      1
8168    -10    -17    -12    1      1      1
8169    -9    -17    -12    1      1      1
8170    -8    -17    -12    1      1      1
8171    -7    -17    -12    1      1      1
8172    -6    -17    -12    1      1      1
8173    -5    -17    -12    1      1      1
8174    -4    -17    -12    1      1      1
8175    -3    -17    -12    1      1      1
8176    -2    -17    -12    1      1      1
8177    -1    -17    -12    1      1      1
8178    0    -17    -12    1      1      1
8179    1    -17    -12    1      1      1
8180    2    -17    -12    1      1      1
8181    3    -17    -12    1      1      1
8182    4    -17    -12    1      1      1
8183    5    -17    -12    1      1      1
8184    6    -17    -12    1      1      1
8185    7    -17    -12    1      1      1
8186    8    -17    -12    1      1      1
8187    9    -17    -12    1      1      1
8188    10    -17    -12    1      1      1
8189    11    -17    -12    1      1      1
8190    12    -17    -12    1      1      1
8191    13    -17    -12    1      1      1
8192    14    -17    -12    1      1      1
8193    -14    -16    -12    1      1      1
8194    -13    -16    -12    1      1      1
8195    -12    -16    -12    1      1      1
8196    -11    -16    -12    1      1      1
8197    -10    -16    -12    1      1      1
8198    -9    -16    -12    1      1      1
8199    -8    -16    -12    1      1      1
8200    -7    -16    -12    1      1      1
8201    -6    -16    -12    1      1      1
8202    -5    -16    -12    1      1      1
8203    -4    -16    -12    1      1      1
8204    -3    -16    -12    1      1      1
8205    -2    -16    -12    1      1      1
8206    -1    -16    -12    1      1      1
8207    0    -16    -12    1      1      1
8208    1    -16    -12    1      1      1
8209    2    -16    -12    1      1      1
8210    3    -16    -12    1      1      1
8211    4    -16    -12    1      1      1
8212    5    -16    -12    1      1      1
8213    6    -16    -12    1      1      1
8214    7    -16    -12    1      1      1
8215    8    -16    -12    1      1      1
8216    9    -16    -12    1      1      1
8217    10    -16    -12    1      1      1
8218    11    -16    -12    1      1      1
8219    12    -16    -12    1      1      1
8220    13    -16    -12    1      1      1
8221    14    -16    -12    1      1      1
8222    -14    -15    -12    1      1      1
8223    -13    -15    -12    1      1      1
8224    -12    -15    -12    1      1      1
8225    -11    -15    -12    1      1      1
8226    -10    -15    -12    1      1      1
8227    -9    -15    -12    1      1      1
8228    -8    -15    -12    1      1      1
8229    -7    -15    -12    1      1      1
8230    -6    -15    -12    1      1      1
8231    -5    -15    -12    1      1      1
8232    -4    -15    -12    1      1      1
8233    -3    -15    -12    1      1      1
8234    -2    -15    -12    1      1      1
8235    -1    -15    -12    1      1      1
8236    0    -15    -12    1      1      1
8237    1    -15    -12    1      1      1
8238    2    -15    -12    1      1      1
8239    3    -15    -12    1      1      1
8240    4    -15    -12    1      1      1
8241    5    -15    -12    1      1      1
8242    6    -15    -12    1      1      1
8243    7    -15    -12    1      1      1
8244    8    -15    -12    1      1      1
8245    9    -15    -12    1      1      1
8246    10    -15    -12    1      1      1
8247    11    -15    -12    1      1      1
8248    12    -15    -12    1      1      1
8249    13    -15    -12    1      1      1
8250    14    -15    -12    1      1      1
8251    -14    -14    -12    1      1      1
8252    -13    -14    -12    1      1      1
8253    -12    -14    -12    1      1      1
8254    -11    -14    -12    1      1      1
8255    -10    -14    -12    1      1      1
8256    -9    -14    -12    1      1      1
8257    -8    -14    -12    1      1      1
8258    -7    -14    -12    1      1      1
8259    -6    -14    -12    1      1      1
8260    -5    -14    -12    1      1      1
8261    -4    -14    -12    1      1      1
8262    -3    -14    -12    1      1      1
8263    -2    -14    -12    1      1      1
8264    -1    -14    -12    1      1      1
8265    0    -14    -12    1      1      1
8266    1    -14    -12    1      1      1
8267    2    -14    -12    1      1      1
8268    3    -14    -12    1      1      1
8269    4    -14    -12    1      1      1
8270    5    -14    -12    1      1      1
8271    6    -14    -12    1      1      1
8272    7    -14    -12    1      1      1
8273    8    -14    -12    1      1      1
8274    9    -14    -12    1      1      1
8275    10    -14    -12    1      1      1
8276    11    -14    -12    1      1      1
8277    12    -14    -12    1      1      1
8278    13    -14    -12    1      1      1
8279    14    -14    -12    1      1      1
8280    -15    -13    -12    1      1      1
8281    -14    -13    -12    1      1      1
8282    -13    -13    -12    1      1      1
8283    -12    -13    -12    1      1      1
8284    -11    -13    -12    1      1      1
8285    -10    -13    -12    1      1      1
8286    -9    -13    -12    1      1      1
8287    -8    -13    -12    1      1      1
8288    -7    -13    -12    1      1      1
8289    -6    -13    -12    1      1      1
8290    -5    -13    -12    1      1      1
8291    -4    -13    -12    1      1      1
8292    -3    -13    -12    1      1      1
8293    -2    -13    -12    1      1      1
8294    -1    -13    -12    1      1      1
8295    0    -13    -12    1      1      1
8296    1    -13    -12    1      1      1
8297    2    -13    -12    1      1      1
8298    3    -13    -12    1      1      1
8299    4    -13    -12    1      1      1
8300    5    -13    -12    1      1      1
8301    6    -13    -12    1      1      1
8302    7    -13    -12    1      1      1
8303    8    -13    -12    1      1      1
8304    9    -13    -12    1      1      1
8305    10    -13    -12    1      1      1
8306    11    -13    -12    1      1      1
8307    12    -13    -12    1      1      1
8308    13    -13    -12    1      1      1
8309    14    -13    -12    1      1      1
8310    15    -13    -12    1      1      1
8311    -15    -12    -12    1      1      1
8312    -14    -12    -12    1      1      1
8313    -13    -12    -12    1      1      1
8314    -12    -12    -12    1      1      1
8315    -11    -12    -12    1      1      1
8316    -10    -12    -12    1      1      1
8317    -9    -12    -12    1      1      1
8318    -8    -12    -12    1      1      1
8319    -7    -12    -12    1      1      1
8320    -6    -12    -12    1      1      1
8321    -5    -12    -12    1      1      1
8322    -4    -12    -12    1      1      1
8323    -3    -12    -12    1      1      1
8324    -2    -12    -12    1      1      1
8325    -1    -12    -12    1      1      1
8326    0    -12    -12    1      1      1
8327    1    -12    -12    1      1      1
8328    2    -12    -12    1      1      1
8329    3    -12    -12    1      1      1
8330    4    -12    -12    1      1      1
8331    5    -12    -12    1      1      1
8332    6    -12    -12    1      1      1
8333    7    -12    -12    1      1      1
8334    8    -12    -12    1      1      1
8335    9    -12    -12    1      1      1
8336    10    -12    -12    1      1      1
8337    11    -12    -12    1      1      1
8338    12    -12    -12    1      1      1
8339    13    -12    -12    1      1      1
8340    14    -12    -12    1      1      1
8341    15    -12    -12    1      1      1
8342    -15    -11    -12    1      1      1
8343    -14    -11    -12    1      1      1
8344    -13    -11    -12    1      1      1
8345    -12    -11    -12    1      1      1
8346    -11    -11    -12    1      1      1
8347    -10    -11    -12    1      1      1
8348    -9    -11    -12    1      1      1
8349    -8    -11    -12    1      1      1
8350    -7    -11    -12    1      1      1
8351    -6    -11    -12    1      1      1
8352    -5    -11    -12    1      1      1
8353    -4    -11    -12    1      1      1
8354    -3    -11    -12    1      1      1
8355    -2    -11    -12    1      1      1
8356    -1    -11    -12    1      1      1
8357    0    -11    -12    1      1      1
8358    1    -11    -12    1      1      1
8359    2    -11    -12    1      1      1
8360    3    -11    -12    1      1      1
8361    4    -11    -12    1      1      1
8362    5    -11    -12    1      1      1
8363    6    -11    -12    1      1      1
8364    7    -11    -12    1      1      1
8365    8    -11    -12    1      1      1
8366    9    -11    -12    1      1      1
8367    10    -11    -12    1      1      1
8368    11    -11    -12    1      1      1
8369    12    -11    -12    1      1      1
8370    13    -11    -12    1      1      1
8371    14    -11    -12    1      1      1
8372    15    -11    -12    1      1      1
8373    -15    -10    -12    1      1      1
8374    -14    -10    -12    1      1      1
8375    -13    -10    -12    1      1      1
8376    -12    -10    -12    1      1      1
8377    -11    -10    -12    1      1      1
8378    -10    -10    -12    1      1      1
8379    -9    -10    -12    1      1      1
8380    -8    -10    -12    1      1      1
8381    -7    -10    -12    1      1      1
8382    -6    -10    -12    1      1      1
8383    -5    -10    -12    1      1      1
8384    -4    -10    -12    1      1      1
8385    -3    -10    -12    1      1      1
8386    -2    -10    -12    1      1      1
8387    -1    -10    -12    1      1      1
8388    0    -10    -12    1      1      1
8389    1    -10    -12    1      1      1
8390    2    -10    -12    1      1      1
8391    3    -10    -12    1      1      1
8392    4    -10    -12    1      1      1
8393    5    -10    -12    1      1      1
8394    6    -10    -12    1      1      1
8395    7    -10    -12    1      1      1
8396    8    -10    -12    1      1      1
8397    9    -10    -12    1      1      1
8398    10    -10    -12    1      1      1
8399    11    -10    -12    1      1      1
8400    12    -10    -12    1      1      1
8401    13    -10    -12    1      1      1
8402    14    -10    -12    1      1      1
8403    15    -10    -12    1      1      1
8404    -15    -9    -12    1      1      1
8405    -14    -9    -12    1      1      1
8406    -13    -9    -12    1      1      1
8407    -12    -9    -12    1      1      1
8408    -11    -9    -12    1      1      1
8409    -10    -9    -12    1      1      1
8410    -9    -9    -12    1      1      1
8411    -8    -9    -12    1      1      1
8412    -7    -9    -12    1      1      1
8413    -6    -9    -12    1      1      1
8414    -5    -9    -12    1      1      1
8415    -4    -9    -12    1      1      1
8416    -3    -9    -12    1      1      1
8417    -2    -9    -12    1      1      1
8418    -1    -9    -12    1      1      1
8419    0    -9    -12    1      1      1
8420    1    -9    -12    1      1      1
8421    2    -9    -12    1      1      1
8422    3    -9    -12    1      1      1
8423    4    -9    -12    1      1      1
8424    5    -9    -12    1      1      1
8425    6    -9    -12    1      1      1
8426    7    -9    -12    1      1      1
8427    8    -9    -12    1      1      1
8428    9    -9    -12    1      1      1
8429    10    -9    -12    1      1      1
8430    11    -9    -12    1      1      1
8431    12    -9    -12    1      1      1
8432    13    -9    -12    1      1      1
8433    14    -9    -12    1      1      1
8434    15    -9    -12    1      1      1
8435    -15    -8    -12    1      1      1
8436    -14    -8    -12    1      1      1
8437    -13    -8    -12    1      1      1
8438    -12    -8    -12    1      1      1
8439    -11    -8    -12    1      1      1
8440    -10    -8    -12    1      1      1
8441    -9    -8    -12    1      1      1
8442    -8    -8    -12    1      1      1
8443    -7    -8    -12    1      1      1
8444    -6    -8    -12    1      1      1
8445    -5    -8    -12    1      1      1
8446    -4    -8    -12    1      1      1
8447    -3    -8    -12    1      1      1
8448    -2    -8    -12    1      1      1
8449    -1    -8    -12    1      1      1
8450    0    -8    -12    1      1      1
8451    1    -8    -12    1      1      1
8452    2    -8    -12    1      1      1
8453    3    -8    -12    1      1      1
8454    4    -8    -12    1      1      1
8455    5    -8    -12    1      1      1
8456    6    -8    -12    1      1      1
8457    7    -8    -12    1      1      1
8458    8    -8    -12    1      1      1
8459    9    -8    -12    1      1      1
8460    10    -8    -12    1      1      1
8461    11    -8    -12    1      1      1
8462    12    -8    -12    1      1      1
8463    13    -8    -12    1      1      1
8464    14    -8    -12    1      1      1
8465    15    -8    -12    1      1      1
8466    -15    -7    -12    1      1      1
8467    -14    -7    -12    1      1      1
8468    -13    -7    -12    1      1      1
8469    -12    -7    -12    1      1      1
8470    -11    -7    -12    1      1      1
8471    -10    -7    -12    1      1      1
8472    -9    -7    -12    1      1      1
8473    -8    -7    -12    1      1      1
8474    -7    -7    -12    1      1      1
8475    -6    -7    -12    1      1      1
8476    -5    -7    -12    1      1      1
8477    -4    -7    -12    1      1      1
8478    -3    -7    -12    1      1      1
8479    -2    -7    -12    1      1      1
8480    -1    -7    -12    1      1      1
8481    0    -7    -12    1      1      1
8482    1    -7    -12    1      1      1
8483    2    -7    -12    1      1      1
8484    3    -7    -12    1      1      1
8485    4    -7    -12    1      1      1
8486    5    -7    -12    1      1      1
8487    6    -7    -12    1      1      1
8488    7    -7    -12    1      1      1
8489    8    -7    -12    1      1      1
8490    9    -7    -12    1      1      1
8491    10    -7    -12    1      1      1
8492    11    -7    -12    1      1      1
8493    12    -7    -12    1      1      1
8494    13    -7    -12    1      1      1
8495    14    -7    -12    1      1      1
8496    15    -7    -12    1      1      1
8497    -15    -6    -12    1      1      1
8498    -14    -6    -12    1      1      1
8499    -13    -6    -12    1      1      1
8500    -12    -6    -12    1      1      1
8501    -11    -6    -12    1      1      1
8502    -10    -6    -12    1      1      1
8503    -9    -6    -12    1      1      1
8504    -8    -6    -12    1      1      1
8505    -7    -6    -12    1      1      1
8506    -6    -6    -12    1      1      1
8507    -5    -6    -12    1      1      1
8508    -4    -6    -12    1      1      1
8509    -3    -6    -12    1      1      1
8510    -2    -6    -12    1      1      1
8511    -1    -6    -12    1      1      1
8512    0    -6    -12    1      1      1
8513    1    -6    -12    1      1      1
8514    2    -6    -12    1      1      1
8515    3    -6    -12    1      1      1
8516    4    -6    -12    1      1      1
8517    5    -6    -12    1      1      1
8518    6    -6    -12    1      1      1
8519    7    -6    -12    1      1      1
8520    8    -6    -12    1      1      1
8521    9    -6    -12    1      1      1
8522    10    -6    -12    1      1      1
8523    11    -6    -12    1      1      1
8524    12    -6    -12    1      1      1
8525    13    -6    -12    1      1      1
8526    14    -6    -12    1      1      1
8527    15    -6    -12    1      1      1
8528    -15    -5    -12    1      1      1
8529    -14    -5    -12    1      1      1
8530    -13    -5    -12    1      1      1
8531    -12    -5    -12    1      1      1
8532    -11    -5    -12    1      1      1
8533    -10    -5    -12    1      1      1
8534    -9    -5    -12    1      1      1
8535    -8    -5    -12    1      1      1
8536    -7    -5    -12    1      1      1
8537    -6    -5    -12    1      1      1
8538    -5    -5    -12    1      1      1
8539    -4    -5    -12    1      1      1
8540    -3    -5    -12    1      1      1
8541    -2    -5    -12    1      1      1
8542    -1    -5    -12    1      1      1
8543    0    -5    -12    1      1      1
8544    1    -5    -12    1      1      1
8545    2    -5    -12    1      1      1
8546    3    -5    -12    1      1      1
8547    4    -5    -12    1      1      1
8548    5    -5    -12    1      1      1
8549    6    -5    -12    1      1      1
8550    7    -5    -12    1      1      1
8551    8    -5    -12    1      1      1
8552    9    -5    -12    1      1      1
8553    10    -5    -12    1      1      1
8554    11    -5    -12    1      1      1
8555    12    -5    -12    1      1      1
8556    13    -5    -12    1      1      1
8557    14    -5    -12    1      1      1
8558    15    -5    -12    1      1      1
8559    -15    -4    -12    1      1      1
8560    -14    -4    -12    1      1      1
8561    -13    -4    -12    1      1      1
8562    -12    -4    -12    1      1      1
8563    -11    -4    -12    1      1      1
8564    -10    -4    -12    1      1      1
8565    -9    -4    -12    1      1      1
8566    -8    -4    -12    1      1      1
8567    -7    -4    -12    1      1      1
8568    -6    -4    -12    1      1      1
8569    -5    -4    -12    1      1      1
8570    -4    -4    -12    1      1      1
8571    -3    -4    -12    1      1      1
8572    -2    -4    -12    1      1      1
8573    -1    -4    -12    1      1      1
8574    0    -4    -12    1      1      1
8575    1    -4    -12    1      1      1
8576    2    -4    -12    1      1      1
8577    3    -4    -12    1      1      1
8578    4    -4    -12    1      1      1
8579    5    -4    -12    1      1      1
8580    6    -4    -12    1      1      1
8581    7    -4    -12    1      1      1
8582    8    -4    -12    1      1      1
8583    9    -4    -12    1      1      1
8584    10    -4    -12    1      1      1
8585    11    -4    -12    1      1      1
8586    12    -4    -12    1      1      1
8587    13    -4    -12    1      1      1
8588    14    -4    -12    1      1      1
8589    15    -4    -12    1      1      1
8590    -15    -3    -12    1      1      1
8591    -14    -3    -12    1      1      1
8592    -13    -3    -12    1      1      1
8593    -12    -3    -12    1      1      1
8594    -11    -3    -12    1      1      1
8595    -10    -3    -12    1      1      1
8596    -9    -3    -12    1      1      1
8597    -8    -3    -12    1      1      1
8598    -7    -3    -12    1      1      1
8599    -6    -3    -12    1      1      1
8600    -5    -3    -12    1      1      1
8601    -4    -3    -12    1      1      1
8602    -3    -3    -12    1      1      1
8603    -2    -3    -12    1      1      1
8604    -1    -3    -12    1      1      1
8605    0    -3    -12    1      1      1
8606    1    -3    -12    1      1      1
8607    2    -3    -12    1      1      1
8608    3    -3    -12    1      1      1
8609    4    -3    -12    1      1      1
8610    5    -3    -12    1      1      1
8611    6    -3    -12    1      1      1
8612    7    -3    -12    1      1      1
8613    8    -3    -12    1      1      1
8614    9    -3    -12    1      1      1
8615    10    -3    -12    1      1      1
8616    11    -3    -12    1      1      1
8617    12    -3    -12    1      1      1
8618    13    -3    -12    1      1      1
8619    14    -3    -12    1      1      1
8620    15    -3    -12    1      1      1
8621    -15    -2    -12    1      1      1
8622    -14    -2    -12    1      1      1
8623    -13    -2    -12    1      1      1
8624    -12    -2    -12    1      1      1
8625    -11    -2    -12    1      1      1
8626    -10    -2    -12    1      1      1
8627    -9    -2    -12    1      1      1
8628    -8    -2    -12    1      1      1
8629    -7    -2    -12    1      1      1
8630    -6    -2    -12    1      1      1
8631    -5    -2    -12    1      1      1
8632    -4    -2    -12    1      1      1
8633    -3    -2    -12    1      1      1
8634    -2    -2    -12    1      1      1
8635    -1    -2    -12    1      1      1
8636    0    -2    -12    1      1      1
8637    1    -2    -12    1      1      1
8638    2    -2    -12    1      1      1
8639    3    -2    -12    1      1      1
8640    4    -2    -12    1      1      1
8641    5    -2    -12    1      1      1
8642    6    -2    -12    1      1      1
8643    7    -2    -12    1      1      1
8644    8    -2    -12    1      1      1
8645    9    -2    -12    1      1      1
8646    10    -2    -12    1      1      1
8647    11    -2    -12    1      1      1
8648    12    -2    -12    1      1      1
8649    13    -2    -12    1      1      1
8650    14    -2    -12    1      1      1
8651    15    -2    -12    1      1      1
8652    -15    -1    -12    1      1      1
8653    -14    -1    -12    1      1      1
8654    -13    -1    -12    1      1      1
8655    -12    -1    -12    1      1      1
8656    -11    -1    -12    1      1      1
8657    -10    -1    -12    1      1      1
8658    -9    -1    -12    1      1      1
8659    -8    -1    -12    1      1      1
8660    -7    -1    -12    1      1      1
8661    -6    -1    -12    1      1      1
8662    -5    -1    -12    1      1      1
8663    -4    -1    -12    1      1      1
8664    -3    -1    -12    1      1      1
8665    -2    -1    -12    1      1      1
8666    -1    -1    -12    1      1      1
8667    0    -1    -12    1      1      1
8668    1    -1    -12    1      1      1
8669    2    -1    -12    1      1      1
8670    3    -1    -12    1      1      1
8671    4    -1    -12    1      1      1
8672    5    -1    -12    1      1      1
8673    6    -1    -12    1      1      1
8674    7    -1    -12    1      1      1
8675    8    -1    -12    1      1      1
8676    9    -1    -12    1      1      1
8677    10    -1    -12    1      1      1
8678    11    -1    -12    1      1      1
8679    12    -1    -12    1      1      1
8680    13    -1    -12    1      1      1
8681    14    -1    -12    1      1      1
8682    15    -1    -12    1      1      1
8683    -16    0    -12    1      1      1
8684    -15    0    -12    1      1      1
8685    -14    0    -12    1      1      1
8686    -13    0    -12    1      1      1
8687    -12    0    -12    1      1      1
8688    -11    0    -12    1      1      1
8689    -10    0    -12    1      1      1
8690    -9    0    -12    1      1      1
8691    -8    0    -12    1      1      1
8692    -7    0    -12    1      1      1
8693    -6    0    -12    1      1      1
8694    -5    0    -12    1      1      1
8695    -4    0    -12    1      1      1
8696    -3    0    -12    1      1      1
8697    -2    0    -12    1      1      1
8698    -1    0    -12    1      1      1
8699    0    0    -12    1      1      1
8700    1    0    -12    1      1      1
8701    2    0    -12    1      1      1
8702    3    0    -12    1      1      1
8703    4    0    -12    1      1      1
8704    5    0    -12    1      1      1
8705    6    0    -12    1      1      1
8706    7    0    -12    1      1      1
8707    8    0    -12    1      1      1
8708    9    0    -12    1      1      1
8709    10    0    -12    1      1      1
8710    11    0    -12    1      1      1
8711    12    0    -12    1      1      1
8712    13    0    -12    1      1      1
8713    14    0    -12    1      1      1
8714    15    0    -12    1      1      1
8715    16    0    -12    1      1      1
8716    -15    1    -12    1      1      1
