--- ddscat calc for FROM_FILE ---
83645
1.000   0.000   0.000
1.000   1.000   0.000
1.      1.      1.   
0.0   0.0   0.0
J     JX      JY      JZ    ICOMPX    ICOMPY   ICOMPZ
191    -3    3    -19    1      1      1
192    -2    3    -19    1      1      1
193    -1    3    -19    1      1      1
194    0    3    -19    1      1      1
195    1    3    -19    1      1      1
196    2    3    -19    1      1      1
197    3    3    -19    1      1      1
198    4    3    -19    1      1      1
199    5    3    -19    1      1      1
200    6    3    -19    1      1      1
201    -6    4    -19    1      1      1
202    -5    4    -19    1      1      1
203    -4    4    -19    1      1      1
204    -3    4    -19    1      1      1
205    -2    4    -19    1      1      1
206    -1    4    -19    1      1      1
207    0    4    -19    1      1      1
208    1    4    -19    1      1      1
209    2    4    -19    1      1      1
210    3    4    -19    1      1      1
211    4    4    -19    1      1      1
212    5    4    -19    1      1      1
213    6    4    -19    1      1      1
214    -5    5    -19    1      1      1
215    -4    5    -19    1      1      1
216    -3    5    -19    1      1      1
217    -2    5    -19    1      1      1
218    -1    5    -19    1      1      1
219    0    5    -19    1      1      1
220    1    5    -19    1      1      1
221    2    5    -19    1      1      1
222    3    5    -19    1      1      1
223    4    5    -19    1      1      1
224    5    5    -19    1      1      1
225    -5    6    -19    1      1      1
226    -4    6    -19    1      1      1
227    -3    6    -19    1      1      1
228    -2    6    -19    1      1      1
229    -1    6    -19    1      1      1
230    0    6    -19    1      1      1
231    1    6    -19    1      1      1
232    2    6    -19    1      1      1
233    3    6    -19    1      1      1
234    4    6    -19    1      1      1
235    5    6    -19    1      1      1
236    -5    7    -19    1      1      1
237    -4    7    -19    1      1      1
238    -3    7    -19    1      1      1
239    -2    7    -19    1      1      1
240    -1    7    -19    1      1      1
241    0    7    -19    1      1      1
242    1    7    -19    1      1      1
243    2    7    -19    1      1      1
244    3    7    -19    1      1      1
245    4    7    -19    1      1      1
246    5    7    -19    1      1      1
247    -5    8    -19    1      1      1
248    -4    8    -19    1      1      1
249    -3    8    -19    1      1      1
250    -2    8    -19    1      1      1
251    -1    8    -19    1      1      1
252    0    8    -19    1      1      1
253    1    8    -19    1      1      1
254    2    8    -19    1      1      1
255    3    8    -19    1      1      1
256    4    8    -19    1      1      1
257    5    8    -19    1      1      1
258    -5    9    -19    1      1      1
259    -4    9    -19    1      1      1
260    -3    9    -19    1      1      1
261    -2    9    -19    1      1      1
262    -1    9    -19    1      1      1
263    0    9    -19    1      1      1
264    1    9    -19    1      1      1
265    2    9    -19    1      1      1
266    3    9    -19    1      1      1
267    4    9    -19    1      1      1
268    5    9    -19    1      1      1
269    -4    10    -19    1      1      1
270    -3    10    -19    1      1      1
271    -2    10    -19    1      1      1
272    -1    10    -19    1      1      1
273    0    10    -19    1      1      1
274    1    10    -19    1      1      1
275    2    10    -19    1      1      1
276    3    10    -19    1      1      1
277    4    10    -19    1      1      1
278    -4    11    -19    1      1      1
279    -3    11    -19    1      1      1
280    -2    11    -19    1      1      1
281    -1    11    -19    1      1      1
282    0    11    -19    1      1      1
283    1    11    -19    1      1      1
284    2    11    -19    1      1      1
285    3    11    -19    1      1      1
286    4    11    -19    1      1      1
287    -3    12    -19    1      1      1
288    -2    12    -19    1      1      1
289    -1    12    -19    1      1      1
290    0    12    -19    1      1      1
291    1    12    -19    1      1      1
292    2    12    -19    1      1      1
293    3    12    -19    1      1      1
294    -3    13    -19    1      1      1
295    -2    13    -19    1      1      1
296    -1    13    -19    1      1      1
297    0    13    -19    1      1      1
298    1    13    -19    1      1      1
299    2    13    -19    1      1      1
300    3    13    -19    1      1      1
301    -2    14    -19    1      1      1
302    -1    14    -19    1      1      1
303    0    14    -19    1      1      1
304    1    14    -19    1      1      1
305    2    14    -19    1      1      1
306    -1    15    -19    1      1      1
307    0    15    -19    1      1      1
308    1    15    -19    1      1      1
309    -2    -21    -18    1      1      1
310    -1    -21    -18    1      1      1
311    0    -21    -18    1      1      1
312    1    -21    -18    1      1      1
313    2    -21    -18    1      1      1
314    -3    -20    -18    1      1      1
315    -2    -20    -18    1      1      1
316    -1    -20    -18    1      1      1
317    0    -20    -18    1      1      1
318    1    -20    -18    1      1      1
319    2    -20    -18    1      1      1
320    3    -20    -18    1      1      1
321    -4    -19    -18    1      1      1
322    -3    -19    -18    1      1      1
323    -2    -19    -18    1      1      1
324    -1    -19    -18    1      1      1
325    0    -19    -18    1      1      1
326    1    -19    -18    1      1      1
327    2    -19    -18    1      1      1
328    3    -19    -18    1      1      1
329    4    -19    -18    1      1      1
330    -4    -18    -18    1      1      1
331    -3    -18    -18    1      1      1
332    -2    -18    -18    1      1      1
333    -1    -18    -18    1      1      1
334    0    -18    -18    1      1      1
335    1    -18    -18    1      1      1
336    2    -18    -18    1      1      1
337    3    -18    -18    1      1      1
338    4    -18    -18    1      1      1
339    -5    -17    -18    1      1      1
340    -4    -17    -18    1      1      1
341    -3    -17    -18    1      1      1
342    -2    -17    -18    1      1      1
343    -1    -17    -18    1      1      1
344    0    -17    -18    1      1      1
345    1    -17    -18    1      1      1
346    2    -17    -18    1      1      1
347    3    -17    -18    1      1      1
348    4    -17    -18    1      1      1
349    5    -17    -18    1      1      1
350    -5    -16    -18    1      1      1
351    -4    -16    -18    1      1      1
352    -3    -16    -18    1      1      1
353    -2    -16    -18    1      1      1
354    -1    -16    -18    1      1      1
355    0    -16    -18    1      1      1
356    1    -16    -18    1      1      1
357    2    -16    -18    1      1      1
358    3    -16    -18    1      1      1
359    4    -16    -18    1      1      1
360    5    -16    -18    1      1      1
361    -6    -15    -18    1      1      1
362    -5    -15    -18    1      1      1
363    -4    -15    -18    1      1      1
364    -3    -15    -18    1      1      1
365    -2    -15    -18    1      1      1
366    -1    -15    -18    1      1      1
367    0    -15    -18    1      1      1
368    1    -15    -18    1      1      1
369    2    -15    -18    1      1      1
370    3    -15    -18    1      1      1
371    4    -15    -18    1      1      1
372    5    -15    -18    1      1      1
373    6    -15    -18    1      1      1
374    -6    -14    -18    1      1      1
375    -5    -14    -18    1      1      1
376    -4    -14    -18    1      1      1
377    -3    -14    -18    1      1      1
378    -2    -14    -18    1      1      1
379    -1    -14    -18    1      1      1
380    0    -14    -18    1      1      1
381    1    -14    -18    1      1      1
382    2    -14    -18    1      1      1
383    3    -14    -18    1      1      1
384    4    -14    -18    1      1      1
385    5    -14    -18    1      1      1
386    6    -14    -18    1      1      1
387    -6    -13    -18    1      1      1
388    -5    -13    -18    1      1      1
389    -4    -13    -18    1      1      1
390    -3    -13    -18    1      1      1
391    -2    -13    -18    1      1      1
392    -1    -13    -18    1      1      1
393    0    -13    -18    1      1      1
394    1    -13    -18    1      1      1
395    2    -13    -18    1      1      1
396    3    -13    -18    1      1      1
397    4    -13    -18    1      1      1
398    5    -13    -18    1      1      1
399    6    -13    -18    1      1      1
400    -7    -12    -18    1      1      1
401    -6    -12    -18    1      1      1
402    -5    -12    -18    1      1      1
403    -4    -12    -18    1      1      1
404    -3    -12    -18    1      1      1
405    -2    -12    -18    1      1      1
406    -1    -12    -18    1      1      1
407    0    -12    -18    1      1      1
408    1    -12    -18    1      1      1
409    2    -12    -18    1      1      1
410    3    -12    -18    1      1      1
411    4    -12    -18    1      1      1
412    5    -12    -18    1      1      1
413    6    -12    -18    1      1      1
414    7    -12    -18    1      1      1
415    -7    -11    -18    1      1      1
416    -6    -11    -18    1      1      1
417    -5    -11    -18    1      1      1
418    -4    -11    -18    1      1      1
419    -3    -11    -18    1      1      1
420    -2    -11    -18    1      1      1
421    -1    -11    -18    1      1      1
422    0    -11    -18    1      1      1
423    1    -11    -18    1      1      1
424    2    -11    -18    1      1      1
425    3    -11    -18    1      1      1
426    4    -11    -18    1      1      1
427    5    -11    -18    1      1      1
428    6    -11    -18    1      1      1
429    7    -11    -18    1      1      1
430    -7    -10    -18    1      1      1
431    -6    -10    -18    1      1      1
432    -5    -10    -18    1      1      1
433    -4    -10    -18    1      1      1
434    -3    -10    -18    1      1      1
435    -2    -10    -18    1      1      1
436    -1    -10    -18    1      1      1
437    0    -10    -18    1      1      1
438    1    -10    -18    1      1      1
439    2    -10    -18    1      1      1
440    3    -10    -18    1      1      1
441    4    -10    -18    1      1      1
442    5    -10    -18    1      1      1
443    6    -10    -18    1      1      1
444    7    -10    -18    1      1      1
445    -7    -9    -18    1      1      1
446    -6    -9    -18    1      1      1
447    -5    -9    -18    1      1      1
448    -4    -9    -18    1      1      1
449    -3    -9    -18    1      1      1
450    -2    -9    -18    1      1      1
451    -1    -9    -18    1      1      1
452    0    -9    -18    1      1      1
453    1    -9    -18    1      1      1
